50136	5258	12231	4330
50246	5221	12443	3619
50247	5202	12334	105145
50349	5140	12424	5015
50353	5143	12639	1774
50425	5015	12011	5814
50434	5029	12141	7326
50442	5024	12407	3717
50468	5015	12727	1664
50514	4935	11719	6618
50527	4915	11942	6496
50548	4912	12343	2861
50557	4910	12514	2422
50564	4926	12721	2345
50603	4840	11649	5542
50618	4813	11816	6420
50632	4846	12155	7397
50639	4800	12244	3065
50656	4817	12631	2697
50658	4803	12553	2360
50674	4834	12926	4045
50727	4710	11956	9972
50739	4720	12311	1900
50742	4748	12429	1627
50745	4723	12355	1471
50756	4727	12658	2392
50758	4711	12554	2460
50774	4744	12855	2409
50778	4740	13232	575
50788	4714	13159	664
50834	4636	12113	4997
50838	4605	12203	2747
50844	4624	12327	1388
50853	4637	12658	1796
50854	4623	12519	1493
50862	4659	12801	2105
50873	4647	13018	820
50877	4618	12935	1001
50888	4619	13211	830
50915	4531	11658	8389
50924	4532	11940	8237
50936	4538	12250	1553
50945	4530	12416	1376
50948	4500	12401	1463
50949	4505	12452	1362
50950	4542	12515	1487
50953	4545	12646	1423
50955	4523	12618	1664
50963	4558	12844	1086
50968	4513	12758	1897
50973	4545	13036	2344
50978	4518	13056	2808
50983	4546	13258	1002
51053	4803	8624	5326
51059	4726	8552	9841
51060	4742	8652	4739
51068	4707	8728	5009
51076	4744	8805	7353
51087	4659	8931	8075
51133	4644	8300	5349
51156	4647	8543	12916
51186	4640	9023	12182
51232	4511	8234	3361
51238	4454	8204	5319
51241	4556	8336	10778
51243	4537	8451	4495
51288	4522	9032	16537
51330	4458	8101	13578
51334	4436	8254	3186
51346	4426	8440	4787
51358	4417	8549	4685
51365	4412	8732	4405
51367	4408	8649	105221
51379	4401	8934	7935
51431	4357	8120	6625
51433	4348	8231	11053
51437	4309	8108	18510
51463	4347	8739	9350
51467	4244	8618	17390
51469	4327	8711	19300
51470	4353	8807	19425
51477	4321	8819	11035
51495	4313	9144	7214
51526	4214	8813	9224
51542	4302	8409	24580
51567	4205	8634	10553
51573	4256	8912	345
51581	4251	9014	3986
51628	4110	8014	11038
51633	4147	8154	12292
51639	4114	8247	9804
51642	4149	8416	9820
51644	4143	8258	10819
51655	4121	8616	8849
51656	4145	8608	9315
51701	4031	7524	35044
51704	3943	7610	12987
51705	3943	7515	21757
51709	3928	7559	12894
51711	4056	7827	19851
51716	3948	7834	11165
51720	4030	7903	11618
51730	4033	8116	10122
51747	3900	8340	10993
51765	4038	8742	8460
51777	3902	8810	8877
51804	3746	7514	30901
51810	3855	7738	11782
51811	3826	7716	12312
51818	3737	7817	13754
51828	3708	7956	13750
51839	3704	8243	14095
51855	3809	8533	12472
51886	3815	9051	29448
51931	3651	8139	14220
52101	4336	9303	16772
52112	4346	9508	4790
52118	4316	9442	17286
52203	4249	9331	7372
52267	4157	10104	9405
52313	4132	9440	15738
52323	4148	9702	17704
52418	4009	9441	11390
52424	4032	9547	11709
52436	4016	9702	15260
52446	4018	9931	11774
52447	4000	9853	12705
52495	4010	10448	13239
52533	3946	9829	14772
52546	3922	9950	13322
52576	3913	10141	15101
52602	3845	9320	27700
52633	3849	9825	33670
52645	3825	9935	133200
52652	3905	10017	14611
52657	3811	10015	27874
52661	3848	10105	17655
52674	3814	10158	19769
52679	3755	10240	15315
52681	3838	10305	13675
52707	3648	9341	27670
52713	3751	9521	31732
52737	3722	9723	29815
52754	3720	10008	133015
52765	3723	10137	128500
52787	3712	10252	30451
52797	3711	10403	16309
52818	3625	9455	28076
52825	3626	9626	27904
52833	3656	9829	129500
52836	3618	9806	31890
52842	3647	9905	30876
52856	3616	10037	28350
52866	3644	10145	22952
52868	3602	10126	22371
52876	3620	10250	18139
52884	3621	10357	16685
52895	3634	10441	13982
52908	3513	9305	46122
52943	3535	9959	33232
52955	3535	10044	131200
52974	3531	10201	24914
52983	3552	10409	18744
52984	3535	10311	19172
52986	3522	10352	18938
52996	3523	10501	24506
53068	4339	11158	9647
53083	4437	11409	11816
53149	4232	11008	12252
53192	4401	11457	11261
53195	4351	11338	10367
53276	4224	11254	11508
53336	4134	10831	12880
53352	4142	11026	13766
53362	4132	11141	14901
53367	4119	11114	16023
53391	4154	11400	14827
53399	4109	11442	13933
53446	4040	10951	10672
53463	4049	11141	10630
53478	4000	11227	13458
53480	4102	11304	14193
53487	4006	11320	10672
53490	4026	11403	10147
53502	3947	10545	110318
53513	4044	10722	10411
53519	3913	10646	10925
53529	3906	10759	13803
53543	3950	10959	14619
53547	3906	10902	13122
53564	3923	11109	8615
53578	3922	11226	11148
53579	3901	11254	8597
53588	3857	11331	22083
53593	3950	11434	9095
53594	3927	11411	9387
53602	3850	10540	15614
53612	3759	10611	11288
53614	3828	10612	11109
53615	3848	10642	11016
53646	3816	10947	11570
53651	3849	11026	9411
53663	3855	11149	14010
53664	3828	11108	10126
53673	3844	11243	8282
53687	3747	11338	7530
53698	3802	11425	810
53704	3732	10511	12257
53705	3729	10541	11834
53723	3748	10723	13493
53725	3735	10735	13603
53735	3737	10848	13367
53738	3655	10810	13314
53740	3756	10914	11110
53754	3730	11013	9297
53764	3730	11106	9508
53772	3747	11233	7783
53775	3726	11232	7819
53787	3704	11259	10414
53798	3704	11430	773
53806	3634	10539	18542
53810	3658	10554	13393
53817	3600	10616	17530
53821	3634	10718	12556
53845	3636	10930	9585
53853	3642	11057	10527
53854	3635	11004	8048
53859	3606	11040	8513
53863	3702	11155	7439
53868	3604	11130	4495
53877	3610	11215	8601
53882	3603	11304	9918
53884	3631	11302	8779
53898	3603	11424	629
53903	3558	10543	19165
53910	3540	10612	28412
53915	3533	10640	13466
53923	3544	10738	14210
53929	3512	10748	12065
